,string,word,passage,p,version
45,chicken,chicken,They liked the pet chicken. They liked the juicy [MASK] .,0.023115683346986767,M2_b_M1_a
46,chicken,chicken,They liked the pet chicken. They liked the roasted [MASK] .,0.009667970240116118,M2_b_M1_b
47,chicken,chicken,They liked the pet chicken. They liked the clucking [MASK] .,0.10701070725917816,M2_b_M2_a
48,class,class,It was a perceptive class. It was a misbehaving [MASK] .,0.08518345654010773,M1_a_M1_b
49,class,class,It was a perceptive class. It was a boring [MASK] .,0.014372773468494414,M1_a_M2_a
50,class,class,It was a perceptive class. It was a stimulating [MASK] .,0.04799482226371766,M1_a_M2_b
51,class,class,It was a misbehaving class. It was a perceptive [MASK] .,0.08143235743045807,M1_b_M1_a
52,class,class,It was a misbehaving class. It was a boring [MASK] .,0.01465124823153019,M1_b_M2_a
53,class,class,It was a misbehaving class. It was a stimulating [MASK] .,0.07993242144584656,M1_b_M2_b
54,class,class,It was a boring class. It was a perceptive [MASK] .,0.08957412838935853,M2_a_M1_a
55,class,class,It was a boring class. It was a misbehaving [MASK] .,0.052347186952829354,M2_a_M1_b
56,class,class,It was a boring class. It was a stimulating [MASK] .,0.09445053339004518,M2_a_M2_b
57,class,class,It was a stimulating class. It was a perceptive [MASK] .,0.15790240466594696,M2_b_M1_a
58,class,class,It was a stimulating class. It was a misbehaving [MASK] .,0.2797558009624481,M2_b_M1_b
59,class,class,It was a stimulating class. It was a boring [MASK] .,0.041234731674194336,M2_b_M2_a
60,contribution,contribution,He made a charitable contribution. He made a voluntary [MASK] .,0.006651086732745172,M1_a_M1_b
61,contribution,contribution,He made a charitable contribution. He made a scholarly [MASK] .,0.10372579842805864,M1_a_M2_a
62,contribution,contribution,He made a charitable contribution. He made a well-written [MASK] .,0.001573442947119474,M1_a_M2_b
63,contribution,contribution,He made a voluntary contribution. He made a charitable [MASK] .,0.030659651383757595,M1_b_M1_a
64,contribution,contribution,He made a voluntary contribution. He made a scholarly [MASK] .,0.0010610255412757397,M1_b_M2_a
65,contribution,contribution,He made a voluntary contribution. He made a well-written [MASK] .,0.0020768239628523597,M1_b_M2_b
66,contribution,contribution,He made a scholarly contribution. He made a charitable [MASK] .,0.04233126342296601,M2_a_M1_a
67,contribution,contribution,He made a scholarly contribution. He made a voluntary [MASK] .,0.007944163866341112,M2_a_M1_b
68,contribution,contribution,He made a scholarly contribution. He made a well-written [MASK] .,0.007670819759368898,M2_a_M2_b
69,contribution,contribution,He made a well-written contribution. He made a charitable [MASK] .,0.0027250137645751234,M2_b_M1_a
70,contribution,contribution,He made a well-written contribution. He made a voluntary [MASK] .,0.0016797772841528062,M2_b_M1_b
71,contribution,contribution,He made a well-written contribution. He made a scholarly [MASK] .,0.0012545007048174743,M2_b_M2_a
72,design,design,They liked the floral design. They liked the geometric [MASK] .,0.06904570758342743,M1_a_M1_b
73,design,design,They liked the floral design. They liked the product [MASK] .,0.03254977986216545,M1_a_M2_a
74,design,design,They liked the floral design. They liked the architectural [MASK] .,0.08376939594745637,M1_a_M2_b
75,design,design,They liked the geometric design. They liked the floral [MASK] .,0.05530891194939614,M1_b_M1_a
76,design,design,They liked the geometric design. They liked the product [MASK] .,0.1594656407833099,M1_b_M2_a
77,design,design,They liked the geometric design. They liked the architectural [MASK] .,0.059733018279075616,M1_b_M2_b
78,design,design,They liked the product design. They liked the floral [MASK] .,0.04882531985640525,M2_a_M1_a
79,design,design,They liked the product design. They liked the geometric [MASK] .,0.30035027861595154,M2_a_M1_b
80,design,design,They liked the product design. They liked the architectural [MASK] .,0.5841639041900635,M2_a_M2_b
81,design,design,They liked the architectural design. They liked the floral [MASK] .,0.08435904234647752,M2_b_M1_a
82,design,design,They liked the architectural design. They liked the geometric [MASK] .,0.1543845534324646,M2_b_M1_b
83,design,design,They liked the architectural design. They liked the product [MASK] .,0.16138519346714023,M2_b_M2_a
84,dinner,dinner,They liked the turkey dinner. They liked the light [MASK] .,0.00016946518735494457,M1_a_M1_b
85,dinner,dinner,They liked the turkey dinner. They liked the formal [MASK] .,0.016391439363360405,M1_a_M2_a
86,dinner,dinner,They liked the turkey dinner. They liked the anniversary [MASK] .,0.013706125319004064,M1_a_M2_b
87,dinner,dinner,They liked the light dinner. They liked the turkey [MASK] .,0.00815731938928366,M1_b_M1_a
88,dinner,dinner,They liked the light dinner. They liked the formal [MASK] .,0.04156561940908431,M1_b_M2_a
89,dinner,dinner,They liked the light dinner. They liked the anniversary [MASK] .,0.0004078291240148248,M1_b_M2_b
90,dinner,dinner,They liked the formal dinner. They liked the turkey [MASK] .,0.07543951272964476,M2_a_M1_a
91,dinner,dinner,They liked the formal dinner. They liked the light [MASK] .,0.0031414087861776356,M2_a_M1_b
92,dinner,dinner,They liked the formal dinner. They liked the anniversary [MASK] .,0.13699324429035187,M2_a_M2_b
93,dinner,dinner,They liked the anniversary dinner. They liked the turkey [MASK] .,0.07590914517641066,M2_b_M1_a
94,dinner,dinner,They liked the anniversary dinner. They liked the light [MASK] .,0.0005835249321535228,M2_b_M1_b
95,dinner,dinner,They liked the anniversary dinner. They liked the formal [MASK] .,0.556668221950531,M2_b_M2_a
96,dream,dream,He had a recurring dream. He had a bad [MASK] .,0.010075495578348637,M1_a_M1_b
97,dream,dream,He had a recurring dream. He had a childhood [MASK] .,0.016061365604400638,M1_a_M2_a
98,dream,dream,He had a recurring dream. He had a career [MASK] .,0.0006212351145222782,M1_a_M2_b
99,dream,dream,He had a bad dream. He had a recurring [MASK] .,0.01737080328166485,M1_b_M1_a
100,dream,dream,He had a bad dream. He had a childhood [MASK] .,0.0054559586569666845,M1_b_M2_a
101,dream,dream,He had a bad dream. He had a career [MASK] .,0.0002339211350772529,M1_b_M2_b
102,dream,dream,He had a childhood dream. He had a recurring [MASK] .,0.004288781899958847,M2_a_M1_a
103,dream,dream,He had a childhood dream. He had a bad [MASK] .,0.009101143106818197,M2_a_M1_b
104,dream,dream,He had a childhood dream. He had a career [MASK] .,0.0008286262745969,M2_a_M2_b
105,dream,dream,He had a career dream. He had a recurring [MASK] .,0.021398743614554402,M2_b_M1_a
106,dream,dream,He had a career dream. He had a bad [MASK] .,0.00605563446879387,M2_b_M1_b
107,dream,dream,He had a career dream. He had a childhood [MASK] .,0.04170796647667884,M2_b_M2_a
108,examination,examination,It was a multiple-choice examination. It was a difficult [MASK] .,0.0004227206518407911,M1_a_M1_b
109,examination,examination,It was a multiple-choice examination. It was a prostate [MASK] .,0.1634576916694641,M1_a_M2_a
110,examination,examination,It was a multiple-choice examination. It was a physical [MASK] .,0.029583653435111042,M1_a_M2_b
111,examination,examination,It was a difficult examination. It was a multiple-choice [MASK] .,0.7939493656158447,M1_b_M1_a
112,examination,examination,It was a difficult examination. It was a prostate [MASK] .,0.0618165358901024,M1_b_M2_a
113,examination,examination,It was a difficult examination. It was a physical [MASK] .,0.03240326046943664,M1_b_M2_b
114,examination,examination,It was a prostate examination. It was a multiple-choice [MASK] .,0.10322446376085283,M2_a_M1_a
115,examination,examination,It was a prostate examination. It was a difficult [MASK] .,0.00023397870245389646,M2_a_M1_b
116,examination,examination,It was a prostate examination. It was a physical [MASK] .,0.01148198451846838,M2_a_M2_b
117,examination,examination,It was a physical examination. It was a multiple-choice [MASK] .,0.2496863007545471,M2_b_M1_a
118,examination,examination,It was a physical examination. It was a difficult [MASK] .,0.00035913154715672125,M2_b_M1_b
119,examination,examination,It was a physical examination. It was a prostate [MASK] .,0.7513784170150757,M2_b_M2_a
120,guard,guard,They liked the night guard. They liked the security [MASK] .,0.03221933916211128,M1_a_M1_b
121,guard,guard,They liked the night guard. They liked the coast [MASK] .,0.15965701639652252,M1_a_M2_a
122,guard,guard,They liked the night guard. They liked the national [MASK] .,0.5281723141670227,M1_a_M2_b
123,guard,guard,They liked the security guard. They liked the night [MASK] .,0.004048544447869063,M1_b_M1_a
124,guard,guard,They liked the security guard. They liked the coast [MASK] .,0.07211649417877196,M1_b_M2_a
125,guard,guard,They liked the security guard. They liked the national [MASK] .,0.6882631182670593,M1_b_M2_b
126,guard,guard,They liked the coast guard. They liked the night [MASK] .,0.003746196161955596,M2_a_M1_a
127,guard,guard,They liked the coast guard. They liked the security [MASK] .,0.08097802847623824,M2_a_M1_b
128,guard,guard,They liked the coast guard. They liked the national [MASK] .,0.9742688536643982,M2_a_M2_b
129,guard,guard,They liked the national guard. They liked the night [MASK] .,0.002235509222373366,M2_b_M1_a
130,guard,guard,They liked the national guard. They liked the security [MASK] .,0.09020131081342697,M2_b_M1_b
131,guard,guard,They liked the national guard. They liked the coast [MASK] .,0.9299734830856323,M2_b_M2_a
132,home,home,It was a summer home. It was a childhood [MASK] .,0.05844313651323319,M1_a_M1_b
133,home,home,It was a summer home. It was a funeral [MASK] .,0.17635378241539001,M1_a_M2_a
134,home,home,It was a summer home. It was a nursing [MASK] .,0.06490807980298996,M1_a_M2_b
135,home,home,It was a childhood home. It was a summer [MASK] .,0.023525958880782124,M1_b_M1_a
136,home,home,It was a childhood home. It was a funeral [MASK] .,0.23585817217826846,M1_b_M2_a
137,home,home,It was a childhood home. It was a nursing [MASK] .,0.1575920134782791,M1_b_M2_b
138,home,home,It was a funeral home. It was a summer [MASK] .,0.004181878175586464,M2_a_M1_a
139,home,home,It was a funeral home. It was a childhood [MASK] .,0.01894672214984894,M2_a_M1_b
140,home,home,It was a funeral home. It was a nursing [MASK] .,0.03375878930091858,M2_a_M2_b
141,home,home,It was a nursing home. It was a summer [MASK] .,0.003164898604154586,M2_b_M1_a
142,home,home,It was a nursing home. It was a childhood [MASK] .,0.10174980759620667,M2_b_M1_b
143,home,home,It was a nursing home. It was a funeral [MASK] .,0.04383011534810066,M2_b_M2_a
144,lunch,lunch,They liked the hot lunch. They liked the sandwich [MASK] .,0.0009753658086992796,M1_a_M1_b
145,lunch,lunch,They liked the hot lunch. They liked the afternoon [MASK] .,0.004251101985573769,M1_a_M2_a
146,lunch,lunch,They liked the hot lunch. They liked the women's [MASK] .,0.00010235989611828692,M1_a_M2_b
147,lunch,lunch,They liked the sandwich lunch. They liked the hot [MASK] .,0.06530489772558212,M1_b_M1_a
148,lunch,lunch,They liked the sandwich lunch. They liked the afternoon [MASK] .,0.18374782800674438,M1_b_M2_a
149,lunch,lunch,They liked the sandwich lunch. They liked the women's [MASK] .,0.0011251108953729274,M1_b_M2_b
150,lunch,lunch,They liked the afternoon lunch. They liked the hot [MASK] .,0.00393734872341156,M2_a_M1_a
151,lunch,lunch,They liked the afternoon lunch. They liked the sandwich [MASK] .,0.001035357126966119,M2_a_M1_b
152,lunch,lunch,They liked the afternoon lunch. They liked the women's [MASK] .,0.00021414982620626672,M2_a_M2_b
153,lunch,lunch,They liked the women's lunch. They liked the hot [MASK] .,0.0010549556463956829,M2_b_M1_a
154,lunch,lunch,They liked the women's lunch. They liked the sandwich [MASK] .,0.00038814081926830113,M2_b_M1_b
155,lunch,lunch,They liked the women's lunch. They liked the afternoon [MASK] .,0.07540404796600342,M2_b_M2_a
156,magazine,magazine,She had a women's magazine. She had a sports [MASK] .,0.11002618819475177,M1_a_M1_b
157,magazine,magazine,She had a women's magazine. She had a glossy [MASK] .,0.6040874719619751,M1_a_M2_a
158,magazine,magazine,She had a women's magazine. She had an old [MASK] .,0.0010559529764577744,M1_a_M2_b
159,magazine,magazine,She had a sports magazine. She had a women's [MASK] .,0.14093124866485596,M1_b_M1_a
160,magazine,magazine,She had a sports magazine. She had a glossy [MASK] .,0.6077672839164734,M1_b_M2_a
161,magazine,magazine,She had a sports magazine. She had an old [MASK] .,0.0005787840927951036,M1_b_M2_b
162,magazine,magazine,She had a glossy magazine. She had a women's [MASK] .,0.7161324620246887,M2_a_M1_a
163,magazine,magazine,She had a glossy magazine. She had a sports [MASK] .,0.0042366711422801,M2_a_M1_b
164,magazine,magazine,She had a glossy magazine. She had an old [MASK] .,0.0005073976353742183,M2_a_M2_b
165,magazine,magazine,She had an old magazine. She had a women's [MASK] .,0.0022949343547224994,M2_b_M1_a
166,magazine,magazine,She had an old magazine. She had a sports [MASK] .,0.0007405518554151058,M2_b_M1_b
167,magazine,magazine,She had an old magazine. She had a glossy [MASK] .,0.001116241561248899,M2_b_M2_a
168,medicine,medicine,It was cough medicine. It was prescription [MASK] .,0.0001251806825166568,M1_a_M1_b
169,medicine,medicine,It was cough medicine. It was orthopedic [MASK] .,0.000560165208298713,M1_a_M2_a
170,medicine,medicine,It was cough medicine. It was veterinary [MASK] .,0.002335058990865946,M1_a_M2_b
171,medicine,medicine,It was prescription medicine. It was cough [MASK] .,9.999654866987843e-05,M1_b_M1_a
172,medicine,medicine,It was prescription medicine. It was orthopedic [MASK] .,0.0003961111360695213,M1_b_M2_a
173,medicine,medicine,It was prescription medicine. It was veterinary [MASK] .,0.00025989147252403183,M1_b_M2_b
174,medicine,medicine,It was orthopedic medicine. It was cough [MASK] .,8.503492426825685e-05,M2_a_M1_a
175,medicine,medicine,It was orthopedic medicine. It was prescription [MASK] .,0.00035017076879739767,M2_a_M1_b
176,medicine,medicine,It was orthopedic medicine. It was veterinary [MASK] .,0.002848164411261677,M2_a_M2_b
177,medicine,medicine,It was veterinary medicine. It was cough [MASK] .,0.006406588479876517,M2_b_M1_a
178,medicine,medicine,It was veterinary medicine. It was prescription [MASK] .,0.00017632832168601467,M2_b_M1_b
179,medicine,medicine,It was veterinary medicine. It was orthopedic [MASK] .,0.0005276993033476172,M2_b_M2_a
180,message,message,There was a phone message. There was a computer [MASK] .,0.0013829320669174188,M1_a_M1_b
181,message,message,There was a phone message. There was an urgent [MASK] .,0.07543998956680299,M1_a_M2_a
182,message,message,There was a phone message. There was a clear [MASK] .,0.0006677125347778203,M1_a_M2_b
183,message,message,There was a computer message. There was a phone [MASK] .,0.004621227737516165,M1_b_M1_a
184,message,message,There was a computer message. There was an urgent [MASK] .,0.002665808424353599,M1_b_M2_a
185,message,message,There was a computer message. There was a clear [MASK] .,0.0010799089213833209,M1_b_M2_b
186,message,message,There was an urgent message. There was a phone [MASK] .,0.0007850096444599327,M2_a_M1_a
187,message,message,There was an urgent message. There was a computer [MASK] .,0.00015336523938458424,M2_a_M1_b
188,message,message,There was an urgent message. There was a clear [MASK] .,0.002206264762207866,M2_a_M2_b
189,message,message,There was a clear message. There was a phone [MASK] .,0.0023365034721791736,M2_b_M1_a
190,message,message,There was a clear message. There was a computer [MASK] .,0.00030697786132805044,M2_b_M1_b
191,message,message,There was a clear message. There was an urgent [MASK] .,0.014588965103030205,M2_b_M2_a
192,newspaper,newspaper,It was a national newspaper. It was a daily [MASK] .,0.6429826021194458,M1_a_M1_b
193,newspaper,newspaper,It was a national newspaper. It was a faded [MASK] .,0.00032951700268313294,M1_a_M2_a
194,newspaper,newspaper,It was a national newspaper. It was a shredded [MASK] .,0.0007674102089367808,M1_a_M2_b
195,newspaper,newspaper,It was a daily newspaper. It was a national [MASK] .,0.030223052948713303,M1_b_M1_a
196,newspaper,newspaper,It was a daily newspaper. It was a faded [MASK] .,0.0005208002403378487,M1_b_M2_a
197,newspaper,newspaper,It was a daily newspaper. It was a shredded [MASK] .,0.00146898755338043,M1_b_M2_b
198,newspaper,newspaper,It was a faded newspaper. It was a national [MASK] .,0.00046314633800648153,M2_a_M1_a
199,newspaper,newspaper,It was a faded newspaper. It was a daily [MASK] .,0.02187687717378139,M2_a_M1_b
200,newspaper,newspaper,It was a faded newspaper. It was a shredded [MASK] .,0.008626765571534632,M2_a_M2_b
201,newspaper,newspaper,It was a shredded newspaper. It was a national [MASK] .,0.0048395986668765545,M2_b_M1_a
202,newspaper,newspaper,It was a shredded newspaper. It was a daily [MASK] .,0.03686288744211196,M2_b_M1_b
203,newspaper,newspaper,It was a shredded newspaper. It was a faded [MASK] .,0.0013626638101413842,M2_b_M2_a
204,novel,novel,It was a best-selling novel. It was a popular [MASK] .,0.027557181194424626,M1_a_M1_b
205,novel,novel,It was a best-selling novel. It was a thick [MASK] .,0.006260655820369718,M1_a_M2_a
206,novel,novel,It was a best-selling novel. It was a paperback [MASK] .,0.12275693565607072,M1_a_M2_b
207,novel,novel,It was a popular novel. It was a best-selling [MASK] .,0.7923467755317688,M1_b_M1_a
208,novel,novel,It was a popular novel. It was a thick [MASK] .,0.04044587537646293,M1_b_M2_a
209,novel,novel,It was a popular novel. It was a paperback [MASK] .,0.04775607958436013,M1_b_M2_b
210,novel,novel,It was a thick novel. It was a best-selling [MASK] .,0.31037509441375727,M2_a_M1_a
211,novel,novel,It was a thick novel. It was a popular [MASK] .,0.01714789867401123,M2_a_M1_b
212,novel,novel,It was a thick novel. It was a paperback [MASK] .,0.03538548573851585,M2_a_M2_b
213,novel,novel,It was a paperback novel. It was a best-selling [MASK] .,0.3385311961174011,M2_b_M1_a
214,novel,novel,It was a paperback novel. It was a popular [MASK] .,0.054232098162174225,M2_b_M1_b
215,novel,novel,It was a paperback novel. It was a thick [MASK] .,0.018980517983436584,M2_b_M2_a
216,oil,oil,It was canola oil. It was cooking [MASK] .,0.001708543277345598,M1_a_M1_b
217,oil,oil,It was canola oil. It was crude [MASK] .,0.0043327263556420794,M1_a_M2_a
218,oil,oil,It was canola oil. It was engine [MASK] .,0.002930484712123872,M1_a_M2_b
219,oil,oil,It was cooking oil. It was canola [MASK] .,0.06673813611268997,M1_b_M1_a
220,oil,oil,It was cooking oil. It was crude [MASK] .,0.0002634206903167071,M1_b_M2_a
221,oil,oil,It was cooking oil. It was engine [MASK] .,0.0002288712857989594,M1_b_M2_b
222,oil,oil,It was crude oil. It was canola [MASK] .,0.002403907245025039,M2_a_M1_a
223,oil,oil,It was crude oil. It was cooking [MASK] .,0.00016607785073574632,M2_a_M1_b
224,oil,oil,It was crude oil. It was engine [MASK] .,8.264606003649533e-05,M2_a_M2_b
225,oil,oil,It was engine oil. It was canola [MASK] .,0.0034441577736288296,M2_b_M1_a
226,oil,oil,It was engine oil. It was cooking [MASK] .,0.00026799782062880717,M2_b_M1_b
227,oil,oil,It was engine oil. It was crude [MASK] .,0.000256591010838747,M2_b_M2_a
228,act,act,It was a desperate act. It was a humane [MASK] .,0.00906078424304724,M1_a_M1_b
229,act,act,It was a desperate act. It was a magic [MASK] .,0.007499650120735166,M1_a_M2_a
230,act,act,It was a desperate act. It was a comedic [MASK] .,0.01565425656735897,M1_a_M2_b
231,act,act,It was a humane act. It was a desperate [MASK] .,0.0068772006779909125,M1_b_M1_a
232,act,act,It was a humane act. It was a magic [MASK] .,0.011598659679293634,M1_b_M2_a
233,act,act,It was a humane act. It was a comedic [MASK] .,0.0986746773123741,M1_b_M2_b
234,act,act,It was a magic act. It was a desperate [MASK] .,0.0057999161072075376,M2_a_M1_a
235,act,act,It was a magic act. It was a humane [MASK] .,0.03538434579968453,M2_a_M1_b
236,act,act,It was a magic act. It was a comedic [MASK] .,0.02845939993858337,M2_a_M2_b
237,act,act,It was a comedic act. It was a desperate [MASK] .,0.005523115396499634,M2_b_M1_a
238,act,act,It was a comedic act. It was a humane [MASK] .,0.015484232455492018,M2_b_M1_b
239,act,act,It was a comedic act. It was a magic [MASK] .,0.022103499621152878,M2_b_M2_a
240,atmosphere,atmosphere,It was a tense atmosphere. It was a hostile [MASK] .,0.1023431494832039,M1_a_M1_b
241,atmosphere,atmosphere,It was a tense atmosphere. It was a gaseous [MASK] .,0.20639465749263763,M1_a_M2_a
242,atmosphere,atmosphere,It was a tense atmosphere. It was a polluted [MASK] .,0.3667069375514984,M1_a_M2_b
243,atmosphere,atmosphere,It was a hostile atmosphere. It was a tense [MASK] .,0.2613077759742737,M1_b_M1_a
244,atmosphere,atmosphere,It was a hostile atmosphere. It was a gaseous [MASK] .,0.11563755571842192,M1_b_M2_a
245,atmosphere,atmosphere,It was a hostile atmosphere. It was a polluted [MASK] .,0.5668303370475769,M1_b_M2_b
246,atmosphere,atmosphere,It was a gaseous atmosphere. It was a tense [MASK] .,0.027593614533543583,M2_a_M1_a
247,atmosphere,atmosphere,It was a gaseous atmosphere. It was a hostile [MASK] .,0.11607048660516739,M2_a_M1_b
248,atmosphere,atmosphere,It was a gaseous atmosphere. It was a polluted [MASK] .,0.00972114223986864,M2_a_M2_b
249,atmosphere,atmosphere,It was a polluted atmosphere. It was a tense [MASK] .,0.017483050003647804,M2_b_M1_a
250,atmosphere,atmosphere,It was a polluted atmosphere. It was a hostile [MASK] .,0.0756213888525963,M2_b_M1_b
251,atmosphere,atmosphere,It was a polluted atmosphere. It was a gaseous [MASK] .,0.023577518761157986,M2_b_M2_a
252,barrier,barrier,There was a police barrier. There was a concrete [MASK] .,0.0019374927505850785,M1_a_M1_b
253,barrier,barrier,There was a police barrier. There was a language [MASK] .,0.011992686428129675,M1_a_M2_a
254,barrier,barrier,There was a police barrier. There was a religious [MASK] .,0.000639203586615622,M1_a_M2_b
255,barrier,barrier,There was a concrete barrier. There was a police [MASK] .,0.0006072985706850886,M1_b_M1_a
256,barrier,barrier,There was a concrete barrier. There was a language [MASK] .,0.00010771930828923358,M1_b_M2_a
257,barrier,barrier,There was a concrete barrier. There was a religious [MASK] .,0.0004988855216652154,M1_b_M2_b
258,barrier,barrier,There was a language barrier. There was a police [MASK] .,0.0011136848479509358,M2_a_M1_a
259,barrier,barrier,There was a language barrier. There was a concrete [MASK] .,0.021848615258932114,M2_a_M1_b
260,barrier,barrier,There was a language barrier. There was a religious [MASK] .,0.08267724514007568,M2_a_M2_b
261,barrier,barrier,There was a religious barrier. There was a police [MASK] .,0.0016384131740778682,M2_b_M1_a
262,barrier,barrier,There was a religious barrier. There was a concrete [MASK] .,0.0025932784192264076,M2_b_M1_b
263,barrier,barrier,There was a religious barrier. There was a language [MASK] .,0.027091324329376214,M2_b_M2_a
264,beam,beam,He saw the laser beam. He saw the bright [MASK] .,0.0004439120239112528,M1_a_M1_b
265,beam,beam,He saw the laser beam. He saw the wood [MASK] .,0.00030702157528139624,M1_a_M2_a
266,beam,beam,He saw the laser beam. He saw the balance [MASK] .,0.0014191303635016086,M1_a_M2_b
267,beam,beam,He saw the bright beam. He saw the laser [MASK] .,0.003584395861253141,M1_b_M1_a
268,beam,beam,He saw the bright beam. He saw the wood [MASK] .,3.746228321688253e-05,M1_b_M2_a
269,beam,beam,He saw the bright beam. He saw the balance [MASK] .,0.0011270594550296664,M1_b_M2_b
270,beam,beam,He saw the wood beam. He saw the laser [MASK] .,0.006955611053854227,M2_a_M1_a
271,beam,beam,He saw the wood beam. He saw the bright [MASK] .,0.00026291023823432624,M2_a_M1_b
272,beam,beam,He saw the wood beam. He saw the balance [MASK] .,0.00040200410876423104,M2_a_M2_b
273,beam,beam,He saw the balance beam. He saw the laser [MASK] .,0.0026320042088627807,M2_b_M1_a
274,beam,beam,He saw the balance beam. He saw the bright [MASK] .,0.00045977075933478756,M2_b_M1_b
275,beam,beam,He saw the balance beam. He saw the wood [MASK] .,0.0012515558628365393,M2_b_M2_a
276,blood,blood,He has coagulated blood. He has thin [MASK] .,0.0010850372491404416,M1_a_M1_b
