,level_0,index,Source,String,Word,Class,Original Condition,M1_a,M1_b,M2_a,M2_b,Flag,Different_entries_MW,Different_entries_OED,Ambiguity_Type,Different_etymology_OED,Comments,Different_frame,K_relatedness,Sentence_frame,Disambiguating_Cxn
29,35,35,Klepousniotou et al (2008),guide,guide,N,moderate overlap,He had an assembly guide.,He had a TV guide.,He had a talkative guide.,He had a friendly guide.,,Unsure,Polysemy,Polysemy,,,Yes,2.82,He had,Attributive
30,36,36,Klepousniotou et al (2008),intelligence,intelligence,N,moderate overlap,They had natural intelligence.,They had innate intelligence.,They had classified intelligence.,They had military intelligence.,,Polysemy,Polysemy,Polysemy,,,No,2.73,They had,Attributive
31,37,37,Klepousniotou et al (2008),market,market,N,moderate overlap,He liked the flea market.,He liked the fish market.,He liked the housing market.,He liked the stock market.,,Polysemy,Polysemy,Polysemy,,,No,3,He liked,Attributive
32,38,38,Klepousniotou et al (2008),orange,orange,N,moderate overlap,It was a juicy orange.,It was a ripe orange.,It was a bright orange.,It was a reddish orange.,,Polysemy,Polysemy,Polysemy,,,No,3.09,It was,Attributive
33,39,39,Klepousniotou et al (2008),position,position,N,moderate overlap,He was in a distinguished position.,He was in a prominent position.,He was in a fetal position.,He was in a yoga position.,,Polysemy,Polysemy,Polysemy,,,No,3.05,He was,Attributive
34,41,41,Klepousniotou et al (2008),scene,scene,N,moderate overlap,It was a touching scene.,It was a well-acted scene.,It was a nature scene.,It was a panoramic scene.,,Polysemy,Polysemy,Polysemy,,,No,2.91,It was,Attributive
35,43,43,Klepousniotou et al (2008),term,term,N,moderate overlap,It was a winter term.,It was a fall term.,It was a legal term.,It was a technical term.,,Polysemy,Polysemy,Polysemy,,Changed M2,No,3.86,It was,Attributive
36,44,44,Klepousniotou et al (2008),title,title,N,moderate overlap,She liked the essay title.,She liked the poem title.,She liked the academic title.,She liked the professional title.,,Polysemy,Polysemy,Polysemy,,,No,2.91,She liked,Attributive
37,46,46,Klepousniotou et al (2008),appeal,appeal,N,low overlap,He had a universal appeal.,He had an undefinable appeal.,He had a legal appeal.,He had a pending appeal.,,Polysemy,Polysemy,Polysemy,,M2 different construction.,Yes,1.36,He had,Attributive
38,47,47,Klepousniotou et al (2008),block,block,N,low overlap,She had a toy block.,She had a wooden block.,She had a mental block.,She had a writer's block.,,Polysemy,Polysemy,Polysemy,,,No,1.68,She had,Attributive
39,48,48,Klepousniotou et al (2008),board,board,N,low overlap,It was the ironing board.,It was the wooden board.,It was the executive board.,It was the school board.,,Polysemy,Polysemy,Polysemy,,,No,1.05,It was,Attributive
40,50,50,Klepousniotou et al (2008),charm,charm,N,low overlap,She had a devilish charm.,She had a natural charm.,She had a gold charm.,She had a good-luck charm.,,Polysemy,Polysemy,Polysemy,,,No,1.77,She had,Attributive
41,51,51,Klepousniotou et al (2008),cold,cold,N,low overlap,It was an icy cold.,It was a freezing cold.,It was a chest cold.,It was a common cold.,,Polysemy,Polysemy,Polysemy,,Different constructions.,Yes,1.77,it was,Attributive
42,52,52,Klepousniotou et al (2008),column,column,N,low overlap,It was a gossip column.,It was a sports column.,It was a concrete column.,It was a marble column.,,Polysemy,Polysemy,Polysemy,,,No,1.5,It was,Attributive
43,53,53,Klepousniotou et al (2008),company,company,N,low overlap,He liked the investment company.,He liked the pharmaceutical company.,He liked the pleasant company.,He liked the polite company.,,Polysemy,Polysemy,Polysemy,,,No,1.77,He liked,Attributive
44,54,54,Klepousniotou et al (2008),course,course,N,low overlap,It was an introductory course.,It was a pass-fail course.,It was a charted course.,It was a collision course.,,Polysemy,Polysemy,Polysemy,,,No,1.32,It was,Attributive
45,55,55,Klepousniotou et al (2008),date,date,N,low overlap,It was a dinner date.,It was a blind date.,It was an expiration date.,It was a historical date.,,Polysemy,Polysemy,Polysemy,,,Yes,1.86,It was,Attributive
46,56,56,Klepousniotou et al (2008),degrees,degree,N,low overlap,It was about forty degrees.,It was about fifty degrees.,It was about associate degrees.,It was about college degrees.,,Polysemy,Polysemy,Polysemy,,M2 kind of strange.,No,1.14,It was,Attributive
47,57,57,Klepousniotou et al (2008),foundation,foundation,N,low overlap,It was a charitable foundation.,It was an educational foundation.,It was a wooden foundation.,It was a concrete foundation.,,Polysemy,Polysemy,Polysemy,,,Yes,1.45,It was,Attributive
48,58,58,Klepousniotou et al (2008),function,function,N,low overlap,It was a mathematical function.,It was a linear function.,It was a social function.,It was a business function.,,Polysemy,Polysemy,Polysemy,,Changed M1 sense quite radically.,No,1.55,It had,Attributive
49,59,59,Klepousniotou et al (2008),issue,issue,N,low overlap,It was a sensitive issue.,It was a political issue.,It was a weekly issue.,It was a special issue.,,Polysemy,Unsure,Polysemy,,Maybe problematic?,No,1.68,It is,Attributive
50,60,60,Klepousniotou et al (2008),key,key,N,low overlap,It was a duplicate key.,It was a master key.,It was a delete key.,It was a backspace key.,,Polysemy,Polysemy,Polysemy,,,No,1.55,It was,Attributive
51,61,61,Klepousniotou et al (2008),movement,movement,N,low overlap,He liked the rhythmic movement.,He liked the graceful movement.,He liked the feminist movement.,He liked the civil-rights movement.,,Polysemy,Polysemy,Polysemy,,,No,1.91,He liked,Attributive
52,62,62,Klepousniotou et al (2008),panel,panel,N,low overlap,It was a control panel.,It was an instrument panel.,It was an advisory panel.,It was a consumer panel.,,Polysemy,Polysemy,Polysemy,,,No,1.77,It was,Attributive
53,63,63,Klepousniotou et al (2008),passage,passage,N,low overlap,It was a secret passage.,It was a narrow passage.,It was a literary passage.,It was a biblical passage.,,Polysemy,Polysemy,Polysemy,,,No,1.18,It was,Attributive
54,64,64,Klepousniotou et al (2008),tape,tape,N,low overlap,He used the scotch tape.,He used the double-sided tape.,He used the interview tape.,He used the video tape.,,Polysemy,Polysemy,Polysemy,,,Yes,2.05,He used,Attributive
55,65,65,Klepousniotou et al (2008),tracks,track,N,low overlap,She saw the train tracks.,She saw the trolley tracks.,She saw the moose tracks.,She saw the snowshoe tracks.,,Polysemy,Polysemy,Polysemy,,,No,1.91,She saw,Attributive
56,66,66,New (words from K+B (2007)),bat,bat,N,homonym,He saw a furry bat.,He saw a fruit bat.,He saw a wooden bat.,He saw a baseball bat.,,Homonymy,Homonymy,Homonymy,,,No,,He saw,Attributive
57,67,67,New (words from K+B (2007)),cape,cape,N,homonym,It was a red cape.,It was a flowing cape.,It was a rocky cape.,It was an island cape.,,Homonymy,Homonymy,Homonymy,,,Yes,,It was,Attributive
58,68,68,New (words from K+B (2007)),cell,cell,N,homonym,It was a skin cell.,It was a brain cell.,It was a prison cell.,It was a jail cell.,,Polysemy,Polysemy,Polysemy,No,,No,,It is,Attributive
59,69,69,New (words from K+B (2007)),mold,mold,N,homonym,It was a fungal mold.,It was a harmful mold.,It was a rubber mold.,It was a clay mold.,,Homonymy,Homonymy,Homonymy,Yes,,No,,It is,Attributive
60,70,70,New (words from K+B (2007)),match,match,N,homonym,It was a lit match.,It was a burning match.,It was a soccer match.,It was a tennis match.,,Homonymy,Homonymy,Homonymy,Yes,,No,,It was,Attributive
61,71,71,New (words from K+B (2007)),pupil,pupil,N,homonym,She had a brilliant pupil.,She had an interested pupil.,She had a dilated pupil.,She had a cloudy pupil.,,Homonymy,Homonymy,Homonymy,No,"Both from ""pupa"" --> pupilla",No,,She had,Attributive
62,72,72,New (words from K+B (2007)),seal,seal,N,homonym,It was a gold seal.,It was a certified seal.,It was a circus seal.,It was a trained seal.,,Homonymy,Homonymy,Homonymy,Yes,,No,,It was,Attributive
63,73,73,New (words from K+B (2007)),tick,tick,N,homonym,It was a clock tick.,It was an audible tick.,It was a parasitic tick.,It was a diseased tick.,,Homonymy,Homonymy,Homonymy,Yes,,Yes,,It was,Attributive
64,74,74,New (words from K+B (2007)),yards,yard,N,homonym,It was five yards.,It was ten yards.,They were big yards.,They were cluttered yards.,,Homonymy,Homonymy,Homonymy,Yes,Different construcitons,Yes,,They were,Attributive
65,75,75,New (words from K+B (2007)),drill,drill,N,homonym,It was a grueling drill.,It was a challenging drill.,It was an electric drill.,It was a battery-powered drill.,,Polysemy,Homonymy,Homonymy,No,,Yes,,It is,Attributive
66,76,76,New (words from K+B (2007)),file,file,N,homonym,She had a text file.,She had a data file.,She had a nail file.,She had a steel file.,,Homonymy,Homonymy,Homonymy,Yes,"Not sure that ""steel"" was incompatible with M1?",No,,She had,Attributive
67,77,77,New (words from K+B (2007)),count,count,N,homonym,That was the noble count.,That was the vengeful count.,That was the final count.,That was the correct count.,,Homonymy,Homonymy,Homonymy,Yes,,No,,That is,Attributive
68,78,78,New (words from K+B (2007)),port,port,N,homonym,It was a windy port.,It was a seaside port.,It was a delicious port.,It was a sweet port.,,Homonymy,Homonymy,Homonymy,,,No,,It was,Attributive
69,79,79,New (words from K+B (2007)),fan,fan,N,homonym,They had an electric fan.,They had a ceiling fan.,They had a zealous fan.,They had an enthusiastic fan.,,Homonymy,Homonymy,Homonymy,,,No,,They had,Attributive
70,80,80,New (words from K+B (2007)),sage,sage,N,homonym,He saw the wise sage.,He saw the renowned sage.,He saw the fragrant sage.,He saw the bushy sage.,,Homonymy,Homonymy,Homonymy,,,No,,He saw,Attributive
71,81,81,New (words from K+B (2007)),racket,racket,N,homonym,That was a loud racket.,That was an annoying racket.,That was a badminton racket.,That was a tennis racket.,,Homonymy,Homonymy,Homonymy,,,Yes,,That was,Attributive
72,82,82,Brown(2008),toasted,toast,V,homonym,They toasted the bread.,They toasted the strudel.,They toasted the host.,They toasted the bride.,,Homonymy,Homonymy,Homonymy,,,No,,They,Transitive_DO
73,83,83,Brown(2008),penned,pen,V,homonym,She penned her animals.,She penned her livestock.,She penned her memoirs.,She penned her thoughts.,,Homonymy,Homonymy,Homonymy,,,No,,She,Transitive_DO
74,84,84,Brown(2008),banked,bank,V,homonym,He banked the plane.,He banked the helicopter.,He banked the money.,He banked the cash.,,Homonymy,Homonymy,Homonymy,,,No,,They,Transitive_DO
75,85,85,Brown(2008),poached,poach,V,homonym,She poached the deer.,She poached the bear.,She poached the eggs.,She poached the vegetables.,,Homonymy,Homonymy,Homonymy,,,No,,She,Transitive_DO
76,86,86,Brown(2008),clogged,clog,V,homonym,The dancer clogged.,The choreographer clogged.,The pipe clogged.,The sink clogged.,,Polysemy,Polysemy,Polysemy,,Under same verb entry in MW,,,,Intransitive_Subject
77,87,87,Brown(2008),staked,stake,V,homonym,He staked his horse.,He staked his tent.,He staked his name.,He staked his claim.,,Polysemy,Polysemy,Polysemy,,,No,,He,Transitive_DO
78,88,88,Brown(2008),picked,pick,V,homonym,He picked his coffee.,He picked his dinner.,He picked his scab.,He picked his nose.,,Polysemy,Polysemy,Polysemy,,,No,,He,Transitive_DO
79,89,89,Brown(2008),stalled,stall,V,homonym,They stalled the truck.,They stalled the bus.,They stalled the horse.,They stalled the pig.,,Polysemy,Polysemy,Polysemy,,Seems a little weird too.,No,,They,Transitive_DO
80,90,90,Brown(2008),fixed,fix,V,distant,They fixed the radio.,They fixed the dishwasher.,They fixed the date.,They fixed the price.,,Polysemy,Polysemy,Polysemy,,,No,,They,Transitive_DO
81,92,92,Brown(2008),stayed,stay,V,distant,They stayed wet.,They stayed cold.,They stayed nearby.,They stayed overnight.,,Polysemy,Polysemy,Polysemy,,,No,,They,Transitive_DO
82,93,93,Brown(2008),crossed,cross,V,distant,He crossed a road.,He crossed a room.,He crossed an enemy.,He crossed a friend.,,Polysemy,Polysemy,Polysemy,,,No,,He,Transitive_DO
83,94,94,Brown(2008),ran,run,V,distant,She ran the marathon.,She ran the race.,She ran the shop.,She ran the company.,,Polysemy,Polysemy,Polysemy,,,No,,She,Transitive_DO
84,95,95,Brown(2008),spilled,spill,V,distant,He spilled the drink.,He spilled the flour.,He spilled the news.,He spilled the secret.,,Polysemy,Polysemy,Polysemy,,,No,,He,Transitive_DO
85,96,96,Brown(2008),cast,cast,V,distant,She cast a shadow.,She cast a glow.,She cast a spear.,She cast a stone.,,Polysemy,Polysemy,Polysemy,,,No,,She,Transitive_DO
86,97,97,Brown(2008),pushed,push,V,distant,He pushed the cocaine.,He pushed the drugs.,He pushed the bed.,He pushed the desk.,,Polysemy,Polysemy,Polysemy,,,No,,He,Transitive_DO
87,98,98,Brown(2008),called,call,V,distant,They called the landlord.,They called the police.,They called the loan.,They called the debt.,,Polysemy,Polysemy,Polysemy,,"""Called the loan"" feels weird (maybe remove that)",,,They,Transitive_DO
88,99,99,Brown(2008),drained,drain,V,distant,They drained the account.,They drained the budget.,They drained the pool.,They drained the pond.,,Polysemy,Polysemy,Polysemy,,,No,,They,Transitive_DO
89,100,100,Brown(2008),drew,draw,V,close,He drew a gun.,He drew a sword.,He drew a tree.,They drew a picture.,,Polysemy,Polysemy,Polysemy,,Changed from Brown (2008),No,,They,Transitive_DO
90,101,101,Brown(2008),hailed,hail,V,close,They hailed a cab.,They hailed a taxi.,They hailed a friend.,They hailed a guest.,,Polysemy,Polysemy,Polysemy,,"""Hailed"" repeats from above.",Yes,,They,Transitive_DO
91,102,102,Brown(2008),broke,break,V,close,He broke the glass.,He broke the dish.,He broke the law.,He broke the promise.,,Polysemy,Polysemy,Polysemy,,Changed from Brown (2008),No,,He,Transitive_DO
92,103,103,Brown(2008),served,serve,V,close,She served a pie.,She served a lasagna.,She served a summons.,She served a warrant.,,Polysemy,Polysemy,Polysemy,,,No,,She,Transitive_DO
93,104,104,Brown(2008),checked,check,V,close,He checked the engine.,He checked the oven.,He checked the alibi.,He checked the facts.,,Polysemy,Polysemy,Polysemy,,"Same sense, different sub-sense",No,,He,Transitive_DO
94,106,106,Brown(2008),sang,sing,V,close,The girl sang.,The choir sang.,The bird sang.,The cricket sang.,,Polysemy,Polysemy,Polysemy,,,No,,The ,Intransitive_Subject
95,107,107,Brown(2008),cleared,clear,V,close,He cleared the desk.,He cleared the shelf.,He cleared the path.,He cleared the road.,,Polysemy,Unsure,Polysemy,,,No,,He,Transitive_DO
96,108,108,Brown(2008),loaded,load,V,close,She loaded the gun.,She loaded the rifle.,She loaded the truck.,She loaded the van.,,Polysemy,Unsure,Polysemy,,,No,,She,Transitive_DO
97,109,109,New stimuli,band,band,N,homonym,It was a gold band.,It was a rubber band.,It was a jazz band.,It was a country band.,,Homonymy,Homonymy,Homonymy,,,No,,,
98,110,110,New stimuli,clip,clip,N,homonym,It was a film clip.,It was a video clip.,It was a hair clip.,It was a metal clip.,,Homonymy,Homonymy,Homonymy,,,No,,,
99,111,111,New stimuli,jam,jam,N,homonym,It was a blackberry jam.,It was a peach jam.,It was a traffic jam.,It was a paper jam.,,Homonymy,Homonymy,Homonymy,,,No,,,
100,112,112,New (words from K+B (2007)),scale,scale,N,homonym,It was a fish scale.,It was a lizard scale.,It was a music scale.,It was a major scale.,,Homonymy,Homonymy,Homonymy,,,No,,,
101,113,113,New stimuli,palm,palm,N,homonym,It was a calloused palm.,It was a wrinkled palm.,It was a tropical palm.,It was a tree palm.,,Homonymy,Homonymy,Homonymy,,,No,,,
102,114,114,New (words from K+B (2007)),pitcher,pitcher,N,homonym,He saw the fast pitcher.,He saw the right-handed pitcher.,He saw the glass pitcher.,He saw the plastic pitcher.,,Homonymy,Homonymy,Homonymy,,,No,,,
103,115,115,New (words from K+B (2007)),toll,toll,N,homonym,It was a costly toll.,It was a road toll.,It was a loud toll.,It was a bell toll.,,Homonymy,Homonymy,Homonymy,,,No,,,
104,116,116,New (words from K+B (2007)),mole,mole,N,homonym,She saw the cancerous mole.,She saw the raised mole.,She saw the cute mole.,She saw the fast mole.,,Homonymy,Homonymy,Homonymy,,,No,,,
105,117,117,New (words from K+B (2007)),perch,perch,N,homonym,It was a tasty perch.,It was a freshwater perch.,It was a lofty perch.,It was a secure perch.,,Homonymy,Homonymy,Homonymy,,,No,,,
106,118,118,Klepousniotou (2002),punch,punch,N,homonym,He had the alcoholic punch.,He had the fruit punch.,He had the strongest punch.,He had the quickest punch.,,Homonymy,Homonymy,Homonymy,,,No,,,
107,119,119,Klepousniotou (2002),tapped,tap,V,homonym,He tapped the keg.,He tapped the beer.,He tapped the stick.,He tapped the drums.,,Homonymy,Homonymy,Homonymy,,,No,,,
108,120,120,Klepousniotou (2002),locks,lock,N,homonym,She had curly locks.,She had brown locks.,She had window locks.,She had door locks.,,Homonymy,Homonymy,Homonymy,,,No,,,
109,121,121,Klepousniotou (2002),lapped,lap,V,homonym,She lapped the milk.,She lapped the water.,She lapped the runners.,She lapped the competitors.,,Homonymy,Homonymy,Homonymy,,,No,,,
110,122,122,Klepousniotou (2002),page,page,N,homonym,He saw the young page.,He saw the loyal page.,He saw the blank page.,He saw the ripped page.,,Homonymy,Homonymy,Homonymy,,,No,,,
111,123,123,New stimuli,tip,tip,N,homonym,It was a generous tip.,It was a stingy tip.,It was a pencil tip.,It was a finger tip.,,Homonymy,Homonymy,Homonymy,,,No,,,
112,124,124,New stimuli,bailed,bail,V,homonym,He bailed out the prisoner.,He bailed out the defendant.,He bailed out the water.,He bailed out the liquid.,,Homonymy,Homonymy,Homonymy,,,No,,,
113,125,125,New stimuli,rock,rock,N,homonym,He liked electronic rock.,He liked alternative rock.,He liked limestone rock.,He liked granite rock.,,Homonymy,Homonymy,Homonymy,,,Yes,,,
114,126,126,New stimuli,post,post,N,homonym,It was a wooden post.,It was a fence post.,It was a teaching post.,It was a challenging post.,,Homonymy,Homonymy,Homonymy,,,,,,
